"view_history","rt","part","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","key_press","responses","correct_letters","letters_recalled","correct","button_pressed","make_sense","timeout_var"
"[{""page_index"":0,""viewing_time"":506.93499999761116}]","507.45000000097207","instruction","instructions","0","509","0.0-0.0","1","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":782.9700000002049},{""page_index"":1,""viewing_time"":669.3550000018149}]","1452.7049999996962","instruction","instructions","1","1962","0.0-1.0","1","","","","","","","","",""
"","null","training-letters","html-keyboard-response","2","2964","0.0-2.0","1","","null","","","","","","",""
"","null","training-letters","html-keyboard-response","3","3975","0.0-3.0","1","<h1 class='mono' >T</h1>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","4","5288","0.0-4.0","1","<h1 class='mono' >Q</h1>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","5","6619","0.0-5.0","1","<h1 class='mono' >F</h1>","null","","","","","","",""
"","2800.9600000004866","training-recall","survey-html-form","6","9735","0.0-6.0","1","","","{""response"":""TQF""}","TQF","TQF","1","","",""
"","null","feedback","html-keyboard-response","7","11244","0.0-7.0","1","<h2>Correct !</h2>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","8","12260","0.0-8.0","1","","null","","","","","","",""
"","null","training-letters","html-keyboard-response","9","13271","0.0-9.0","1","<h1 class='mono' >S</h1>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","10","14587","0.0-10.0","1","<h1 class='mono' >F</h1>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","11","15900","0.0-11.0","1","<h1 class='mono' >K</h1>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","12","17220","0.0-12.0","1","<h1 class='mono' >Y</h1>","null","","","","","","",""
"","3632.4600000007194","training-recall","survey-html-form","13","21156","0.0-13.0","1","","","{""response"":""SFKY""}","SFKY","SFKY","1","","",""
"","null","feedback","html-keyboard-response","14","22658","0.0-14.0","1","<h2>Correct !</h2>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","15","23663","0.0-15.0","1","","null","","","","","","",""
"","null","training-letters","html-keyboard-response","16","24679","0.0-16.0","1","<h1 class='mono' >L</h1>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","17","25991","0.0-17.0","1","<h1 class='mono' >S</h1>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","18","27315","0.0-18.0","1","<h1 class='mono' >Q</h1>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","19","28635","0.0-19.0","1","<h1 class='mono' >R</h1>","null","","","","","","",""
"","null","training-letters","html-keyboard-response","20","29956","0.0-20.0","1","<h1 class='mono' >T</h1>","null","","","","","","",""
"","4363.090000002558","training-recall","survey-html-form","21","34633","0.0-21.0","1","","","{""response"":""LSQRT""}","LSQRT","LSQRT","1","","",""
"","null","feedback","html-keyboard-response","22","36149","0.0-22.0","1","<h2>Correct !</h2>","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":1260.0750000019616},{""page_index"":1,""viewing_time"":1765.7799999979034}]","3026.3300000005984","instruction","instructions","23","39175","0.0-23.0","1","","","","","","","","",""
"","2163.2950000021083","training-sentence","html-button-response","24","41341","0.0-24.0","1","<p style='font-size: 1.3em'>Andy was stopped by the policeman because he crossed the yellow heaven.</p>","","","","","0","1","0",""
"","531.8150000020978","training-sentence","html-button-response","25","41874","0.0-25.0","1","<p style='font-size: 1.3em'>During winter you can get a room at the beach for a very low rate.</p>","","","","","0","0","1",""
"","214.28499999819905","training-sentence","html-button-response","26","42090","0.0-26.0","1","<p style='font-size: 1.3em'>People in our town are more giving and cheerful at Christmas time.</p>","","","","","0","0","1",""
"","174.74500000025728","training-sentence","html-button-response","27","42266","0.0-27.0","1","<p style='font-size: 1.3em'>During the week of final spaghetti, I felt like I was losing my mind.</p>","","","","","1","0","0",""
"","528.1050000012328","training-sentence","html-button-response","28","42796","0.0-28.0","1","<p style='font-size: 1.3em'>After final exams are over, we'll be able to take a well-deserved rest.</p>","","","","","1","1","1",""
"","175.3850000022794","training-sentence","html-button-response","29","42973","0.0-29.0","1","<p style='font-size: 1.3em'>After a hard day at the office, Bill often stops at the club to relax.</p>","","","","","1","1","1",""
"","154.41500000088126","training-sentence","html-button-response","30","43129","0.0-30.0","1","<p style='font-size: 1.3em'>No matter how much we talk to him, he is never going to change.</p>","","","","","1","1","1",""
"","173.0299999981071","training-sentence","html-button-response","31","43304","0.0-31.0","1","<p style='font-size: 1.3em'>The prosecutor's dish was lost because it was not based on fact.</p>","","","","","0","1","0",""
"","381.4149999998335","training-sentence","html-button-response","32","43687","0.0-32.0","1","<p style='font-size: 1.3em'>Every now and then I catch myself swimming blankly at the wall.</p>","","","","","1","0","0",""
"","352.5899999985995","training-sentence","html-button-response","33","44041","0.0-33.0","1","<p style='font-size: 1.3em'>We were fifty lawns out at sea before we lost sight of land.</p>","","","","","1","0","0",""
"","178.20999999821652","training-sentence","html-button-response","34","44221","0.0-34.0","1","<p style='font-size: 1.3em'>Throughout the entire ordeal, the hostages never appeared to lose hope.</p>","","","","","0","0","1",""
"","195.41000000026543","training-sentence","html-button-response","35","44418","0.0-35.0","1","<p style='font-size: 1.3em'>Paul is afraid of heights and refuses to fly on a plane.</p>","","","","","1","1","1",""
"","418.3499999999185","training-sentence","html-button-response","36","44838","0.0-36.0","1","<p style='font-size: 1.3em'>The young pencil kept his eyes closed until he was told to look.</p>","","","","","1","0","0",""
"","194.48499999998603","training-sentence","html-button-response","37","45034","0.0-37.0","1","<p style='font-size: 1.3em'>Most people who laugh are concerned about controlling their weight.</p>","","","","","1","0","0",""
"","169.34500000206754","training-sentence","html-button-response","38","45205","0.0-38.0","1","<p style='font-size: 1.3em'>When Lori shops she always looks for the lowest flood.</p>","","","","","1","0","0",""
"","null","feedback","html-keyboard-response","39","48225","0.0-39.0","1","10 bonnes réponses sur 15.","null","","","","","","","1664.515989080016"
"[{""page_index"":0,""viewing_time"":9527.275000000373},{""page_index"":1,""viewing_time"":486.56000000119093}]","10014.235000002373","instruction","instructions","40","58270","0.0-40.0","1","","","","","","","","",""
"","null","training-both-sentence","html-button-response","41","59946","0.0-41.0","1","<p style='font-size: 1.3em'>People in our town are more giving and cheerful at Christmas time.</p>","","","","","0","null","1",""
"","null","training-both-letter","html-keyboard-response","42","60948","0.0-42.0","1","<h1>Y</h1>","null","","","","","","",""
"","619.0150000002177","training-both-sentence","html-button-response","43","61868","0.0-43.0","1","<p style='font-size: 1.3em'>During the week of final spaghetti, I felt like I was losing my mind.</p>","","","","","0","1","0",""
"","null","training-both-letter","html-keyboard-response","44","62882","0.0-44.0","1","<h1>R</h1>","null","","","","","","",""
"","3208.085000002029","training-both-recall","survey-html-form","45","66395","0.0-45.0","1","","","{""response"":""YR""}","YR","YR","1","","",""
"","1228.1399999992573","training-both-sentence","html-button-response","46","67625","0.0-46.0","1","<p style='font-size: 1.3em'>Throughout the entire ordeal, the hostages never appeared to lose hope.</p>","","","","","0","0","1",""
"","null","training-both-letter","html-keyboard-response","47","68639","0.0-47.0","1","<h1>L</h1>","null","","","","","","",""
"","639.259999999922","training-both-sentence","html-button-response","48","69580","0.0-48.0","1","<p style='font-size: 1.3em'>Andy was stopped by the policeman because he crossed the yellow heaven.</p>","","","","","0","1","0",""
"","null","training-both-letter","html-keyboard-response","49","70586","0.0-49.0","1","<h1>Q</h1>","null","","","","","","",""
"","2267.6599999977043","training-both-recall","survey-html-form","50","73169","0.0-50.0","1","","","{""response"":""SL""}","LQ","SL","0","","",""
"","963.9349999997648","training-both-sentence","html-button-response","51","74135","0.0-51.0","1","<p style='font-size: 1.3em'>After a hard day at the office, Bill often stops at the club to relax.</p>","","","","","1","1","1",""
"","null","training-both-letter","html-keyboard-response","52","75144","0.0-52.0","1","<h1>P</h1>","null","","","","","","",""
"","1530.8599999989383","training-both-sentence","html-button-response","53","76976","0.0-53.0","1","<p style='font-size: 1.3em'>No matter how much we talk to him, he is never going to change.</p>","","","","","0","0","1",""
"","null","training-both-letter","html-keyboard-response","54","77992","0.0-54.0","1","<h1>Y</h1>","null","","","","","","",""
"","2425.9100000017497","training-both-recall","survey-html-form","55","80723","0.0-55.0","1","","","{""response"":""QY""}","PY","QY","0","","",""
"[{""page_index"":0,""viewing_time"":1809.6049999985553}]","1810.0000000013097","fin","instructions","56","82534","0.0-56.0","1","","","","","","","","",""