"success","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","view_history","rt","part","stimulus","key_press","audio_id","audio_file","responses","retransc"
"true","fullscreen","0","1909","0.0-0.0","1","","","","","","","","",""
"","instructions","1","3977","0.0-1.0","1","[{""page_index"":0,""viewing_time"":882.2449999970559},{""page_index"":1,""viewing_time"":790.9250000011525},{""page_index"":2,""viewing_time"":392.8750000013679}]","2066.6199999977835","instruction","","","","","",""
"","instructions","2","5852","0.0-2.0","1","[{""page_index"":0,""viewing_time"":656.0299999982817},{""page_index"":1,""viewing_time"":771.8950000016775},{""page_index"":2,""viewing_time"":446.1249999985739}]","1874.519999997574","instruction","","","","","",""
"","html-keyboard-response","3","6858","0.0-3.0","1","","null","Pause","","null","","","",""
"","instructions","4","11257","0.0-4.0","1","[{""page_index"":0,""viewing_time"":1340.4049999990093},{""page_index"":1,""viewing_time"":761.0950000016601},{""page_index"":2,""viewing_time"":1321.1950000004435},{""page_index"":3,""viewing_time"":975.5049999985204}]","4398.659999998927","instruction","","","","","",""
"","html-keyboard-response","5","12273","0.0-5.0","1","","null","Pause","","null","","","",""
"","audio-keyboard-response","6","15290","0.0-6.0","1","","null","Beep Beep Beep","../assets/beep_beep_beep.mp3","null","","","",""
"","html-keyboard-response","7","16292","0.0-7.0","1","","null","Pause","","null","","","",""
"","audio-keyboard-response","8","23278","0.0-8.0","1","","null","Audio","audio/mp3_fr/conf_fr-001.mp3","null","1","conf_fr-001.mp3","",""
"","survey-html-form","9","38280","0.0-9.0","1","","14998.944999999367","Retranscription","","","","","{""rep"":""je m'appelle truc muche et avant j'étais pas content""}","je m'appelle truc muche et avant j'étais pas content"
"","audio-keyboard-response","10","42418","0.0-10.0","1","","null","Audio","audio/mp3_fr/conf_fr-002.mp3","null","2","conf_fr-002.mp3","",""
"","survey-html-form","11","52421","0.0-11.0","1","","9999.955000002956","Retranscription","","","","","{""rep"":""en grandissant j'avais espoir que ça irait""}","en grandissant j'avais espoir que ça irait"
"","audio-keyboard-response","12","56978","0.0-12.0","1","","null","Audio","audio/mp3_fr/conf_fr-003.mp3","null","3","conf_fr-003.mp3","",""
"","survey-html-form","13","66981","0.0-13.0","1","","10000.789999998233","Retranscription","","","","","{""rep"":""et a 13 ans j'ai intégré un cabinet d'a""}","et a 13 ans j'ai intégré un cabinet d'a"
"true","fullscreen","14","67986","0.0-14.0","1","","","","","","","","",""