"view_history","rt","part","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","stimulus","key_press","letter","trial_id","id_2_back","block_part","prev_letter","is_target","correct","response_type","audio_id","audio_file","responses","retransc"
"[{""page_index"":0,""viewing_time"":1112.1900000143796},{""page_index"":1,""viewing_time"":177.00999998487532}]","1289.439999993192","instruction","instructions","0","1291","0.0-0.0","2","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":135.06999998935498},{""page_index"":1,""viewing_time"":153.79000001121312}]","288.99500000989065","instruction","instructions","1","1581","0.0-1.0","2","","","","","","","","","","","","","",""
"","1137.719999998808","Preparation","html-keyboard-response","2","2720","0.0-2.0","2","<h1>Positionnement de la main droite</h1><p>Placez l'index de votre <strong>main droite</strong> sur la touche '<strong>J</strong>'</p><p>Vous devrez garder votre doigt en position durant toute la session.</p><p>Lorsque vous êtes prêt appuyez sur la touche '<strong>J</strong>' pour continuer.</p>","74","","","","","","","","","","","",""
"","539.1850000014529","Preparation","html-keyboard-response","3","3763","0.0-3.0","2","<h1>Positionnement de la main gauche</h1><p>Placez l'index de votre <strong>main gauche</strong> sur la touche '<strong>F</strong>'</p><p>Vous devrez garder votre doigt en position durant toute la session.</p><p>Lorsque vous êtes prêt appuyez sur la touche '<strong>F</strong>' pour commencer la tâche.</p>","70","","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","4","4766","0.0-4.0","2","","null","","","","","","","","","","","",""
"","849.8350000008941","2-back-pre","html-keyboard-response","5","6768","0.0-5.0","2","<h1 class='mono'>1</h1>","70","1","0","1","1","","0","1","Non-target","","","",""
"","301.38999997870997","2-back-pre","html-keyboard-response","6","8783","0.0-6.0","2","<h1 class='mono'>F</h1>","70","F","1","1","1","","0","1","Non-target","","","",""
"","282.94500001356937","2-back-pre","html-keyboard-response","7","10797","0.0-7.0","2","<h1 class='mono'>T</h1>","70","T","2","1","1","1","0","1","Non-target","","","",""
"","379.994999995688","2-back-pre","html-keyboard-response","8","12811","0.0-8.0","2","<h1 class='mono'>F</h1>","74","F","3","1","1","F","1","1","Target","","","",""
"","115.08999997749925","2-back-pre","html-keyboard-response","9","14821","0.0-9.0","2","<h1 class='mono'>S</h1>","70","S","4","1","1","T","0","1","Non-target","","","",""
"","271.3050000020303","2-back-pre","html-keyboard-response","10","16837","0.0-10.0","2","<h1 class='mono'>R</h1>","70","R","5","1","1","F","0","1","Non-target","","","",""
"","369.60499998531304","2-back-pre","html-keyboard-response","11","18842","0.0-11.0","2","<h1 class='mono'>S</h1>","70","S","6","1","1","S","1","0","Mismatch","","","",""
"","391.925000003539","2-back-pre","html-keyboard-response","12","20852","0.0-12.0","2","<h1 class='mono'>F</h1>","70","F","7","1","1","R","0","1","Non-target","","","",""
"","null","Pause","html-keyboard-response","13","23867","0.0-13.0","2","<h2>Reprise dans 3 secondes ...</h2>","null","","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","14","24870","0.0-14.0","2","","null","","","","","","","","","","","",""
"","552.6199999731034","2-back-pre","html-keyboard-response","15","26885","0.0-15.0","2","<h1 class='mono'>2</h1>","70","2","0","2","2","","0","1","Non-target","","","",""
"","320.7550000224728","2-back-pre","html-keyboard-response","16","28903","0.0-16.0","2","<h1 class='mono'>F</h1>","70","F","1","2","2","","0","1","Non-target","","","",""
"","327.02499997685663","2-back-pre","html-keyboard-response","17","30911","0.0-17.0","2","<h1 class='mono'>T</h1>","70","T","2","2","2","2","0","1","Non-target","","","",""
"","268.50499998545274","2-back-pre","html-keyboard-response","18","32914","0.0-18.0","2","<h1 class='mono'>F</h1>","74","F","3","2","2","F","1","1","Target","","","",""
"","270.24999997229315","2-back-pre","html-keyboard-response","19","34915","0.0-19.0","2","<h1 class='mono'>S</h1>","70","S","4","2","2","T","0","1","Non-target","","","",""
"","285.2699999930337","2-back-pre","html-keyboard-response","20","36918","0.0-20.0","2","<h1 class='mono'>R</h1>","70","R","5","2","2","F","0","1","Non-target","","","",""
"","369.3249999778345","2-back-pre","html-keyboard-response","21","38919","0.0-21.0","2","<h1 class='mono'>S</h1>","74","S","6","2","2","S","1","1","Target","","","",""
"","359.519999998156","2-back-pre","html-keyboard-response","22","40921","0.0-22.0","2","<h1 class='mono'>F</h1>","70","F","7","2","2","R","0","1","Non-target","","","",""
"[{""page_index"":0,""viewing_time"":1438.0999999993946},{""page_index"":1,""viewing_time"":184.22500000451691},{""page_index"":2,""viewing_time"":107.77500001131557},{""page_index"":3,""viewing_time"":880.2450000075623}]","2610.485000011977","instruction","instructions","23","43533","0.0-23.0","2","","","","","","","","","","","","","",""
"","null","Audio","audio-keyboard-response","24","48648","0.0-24.0","2","audio/mp3/conf-001.mp3","null","","","","","","","","","1","conf-001.mp3","",""
"","12501.6900000046","Retranscription","survey-html-form","25","61152","0.0-25.0","2","","","","","","","","","","","","","{""rep"":""premier texte""}","premier texte"
"","null","Audio","audio-keyboard-response","26","66307","0.0-26.0","2","audio/mp3/conf-002.mp3","null","","","","","","","","","2","conf-002.mp3","",""
"","12515.675000002375","Retranscription","survey-html-form","27","78825","0.0-27.0","2","","","","","","","","","","","","","{""rep"":""deuxième texte ''""}","deuxième texte ''"
"","null","Audio","audio-keyboard-response","28","82678","0.0-28.0","2","audio/mp3/conf-003.mp3","null","","","","","","","","","3","conf-003.mp3","",""
"","7507.79999999213","Retranscription","survey-html-form","29","90188","0.0-29.0","2","","","","","","","","","","","","","{""rep"":""et ... enfin, le troisiemen""}","et ... enfin, le troisiemen"
"","null","Pause","html-keyboard-response","30","91191","0.0-30.0","2","","null","","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","31","94204","0.0-31.0","2","<h2>2-back dans 3 secondes ...</h2><p>Préparez vous à appuyez sur 'F' et 'J'</p>","null","","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","32","95210","0.0-32.0","2","","null","","","","","","","","","","","",""
"","1049.8099999967963","2-back-post","html-keyboard-response","33","97222","0.0-33.0","2","<h1 class='mono'>3</h1>","70","3","0","3","1","","0","1","Non-target","","","",""
"","460.37000001524575","2-back-post","html-keyboard-response","34","99227","0.0-34.0","2","<h1 class='mono'>F</h1>","70","F","1","3","1","","0","1","Non-target","","","",""
"","302.1549999830313","2-back-post","html-keyboard-response","35","101230","0.0-35.0","2","<h1 class='mono'>T</h1>","70","T","2","3","1","3","0","1","Non-target","","","",""
"","266.7700000165496","2-back-post","html-keyboard-response","36","103236","0.0-36.0","2","<h1 class='mono'>F</h1>","74","F","3","3","1","F","1","1","Target","","","",""
"","558.4349999844562","2-back-post","html-keyboard-response","37","105240","0.0-37.0","2","<h1 class='mono'>S</h1>","70","S","4","3","1","T","0","1","Non-target","","","",""
"","475.57499998947605","2-back-post","html-keyboard-response","38","107250","0.0-38.0","2","<h1 class='mono'>R</h1>","70","R","5","3","1","F","0","1","Non-target","","","",""
"","300.2850000048056","2-back-post","html-keyboard-response","39","109257","0.0-39.0","2","<h1 class='mono'>S</h1>","74","S","6","3","1","S","1","1","Target","","","",""
"","287.8950000158511","2-back-post","html-keyboard-response","40","111264","0.0-40.0","2","<h1 class='mono'>F</h1>","70","F","7","3","1","R","0","1","Non-target","","","",""
"","null","Pause","html-keyboard-response","41","114276","0.0-41.0","2","<h2>Reprise dans 3 secondes ...</h2>","null","","","","","","","","","","","",""
"","null","Pause","html-keyboard-response","42","115284","0.0-42.0","2","","null","","","","","","","","","","","",""
"","373.2599999930244","2-back-post","html-keyboard-response","43","117285","0.0-43.0","2","<h1 class='mono'>4</h1>","70","4","0","4","2","","0","1","Non-target","","","",""
"","342.55999999004416","2-back-post","html-keyboard-response","44","119288","0.0-44.0","2","<h1 class='mono'>F</h1>","70","F","1","4","2","","0","1","Non-target","","","",""
"","455.534999986412","2-back-post","html-keyboard-response","45","121291","0.0-45.0","2","<h1 class='mono'>T</h1>","70","T","2","4","2","4","0","1","Non-target","","","",""
"","351.1749999888707","2-back-post","html-keyboard-response","46","123294","0.0-46.0","2","<h1 class='mono'>F</h1>","74","F","3","4","2","F","1","1","Target","","","",""
"","263.57999999891035","2-back-post","html-keyboard-response","47","125296","0.0-47.0","2","<h1 class='mono'>S</h1>","70","S","4","4","2","T","0","1","Non-target","","","",""
"","399.96000000974163","2-back-post","html-keyboard-response","48","127299","0.0-48.0","2","<h1 class='mono'>R</h1>","70","R","5","4","2","F","0","1","Non-target","","","",""
"","369.8199999926146","2-back-post","html-keyboard-response","49","129302","0.0-49.0","2","<h1 class='mono'>S</h1>","70","S","6","4","2","S","1","0","Mismatch","","","",""
"","716.9449999928474","2-back-post","html-keyboard-response","50","131304","0.0-50.0","2","<h1 class='mono'>F</h1>","70","F","7","4","2","R","0","1","Non-target","","","",""